year,sector,length_mm,proportion,sample_size,evidence_class
2003,all,250.0,0.0,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,300.0,0.0,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,350.0,0.004132231404958678,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,400.0,0.014462809917355372,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,450.0,0.03925619834710744,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,500.0,0.10950413223140495,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,550.0,0.15702479338842976,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,600.0,0.15702479338842976,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,650.0,0.1652892561983471,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,700.0,0.1487603305785124,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,750.0,0.07231404958677685,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,800.0,0.04132231404958678,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,850.0,0.04338842975206612,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,900.0,0.026859504132231406,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,950.0,0.010330578512396695,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,1000.0,0.008264462809917356,484,synthetic_multinomial_from_published_growth_and_operating_truth
2003,all,1050.0,0.002066115702479339,484,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,250.0,0.0,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,300.0,0.0,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,350.0,0.0,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,400.0,0.007194244604316547,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,450.0,0.031654676258992806,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,500.0,0.07625899280575539,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,550.0,0.14676258992805755,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,600.0,0.16546762589928057,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,650.0,0.17841726618705037,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,700.0,0.1223021582733813,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,750.0,0.09928057553956834,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,800.0,0.07194244604316546,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,850.0,0.04460431654676259,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,900.0,0.027338129496402876,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,950.0,0.01870503597122302,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,1000.0,0.0057553956834532375,695,synthetic_multinomial_from_published_growth_and_operating_truth
2004,all,1050.0,0.004316546762589928,695,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,250.0,0.0,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,300.0,0.0,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,350.0,0.0,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,400.0,0.008356545961002786,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,450.0,0.034818941504178275,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,500.0,0.0807799442896936,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,550.0,0.12674094707520892,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,600.0,0.14763231197771587,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,650.0,0.1573816155988858,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,700.0,0.16434540389972144,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,750.0,0.08913649025069638,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,800.0,0.06824512534818941,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,850.0,0.06685236768802229,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,900.0,0.020891364902506964,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,950.0,0.01532033426183844,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,1000.0,0.013927576601671309,718,synthetic_multinomial_from_published_growth_and_operating_truth
2005,all,1050.0,0.005571030640668524,718,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,250.0,0.0,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,300.0,0.0,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,350.0,0.0027624309392265192,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,400.0,0.016574585635359115,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,450.0,0.022099447513812154,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,500.0,0.0856353591160221,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,550.0,0.09944751381215469,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,600.0,0.13812154696132597,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,650.0,0.1712707182320442,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,700.0,0.15469613259668508,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,750.0,0.10773480662983426,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,800.0,0.08287292817679558,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,850.0,0.049723756906077346,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,900.0,0.022099447513812154,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,950.0,0.03591160220994475,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,1000.0,0.0055248618784530384,362,synthetic_multinomial_from_published_growth_and_operating_truth
2006,all,1050.0,0.0055248618784530384,362,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,250.0,0.0,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,300.0,0.001002004008016032,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,350.0,0.002004008016032064,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,400.0,0.009018036072144289,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,450.0,0.03907815631262525,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,500.0,0.0531062124248497,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,550.0,0.09318637274549098,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,600.0,0.12024048096192384,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,650.0,0.13827655310621242,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,700.0,0.17234468937875752,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,750.0,0.12124248496993988,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,800.0,0.11022044088176353,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,850.0,0.07014028056112225,998,synthetic_multinomial_from_published_growth_and_operating_truth
2007,all,900.0,0.03807615230460922,998,synthetic_multinomial_from_published_growth_and_operating_truth
